,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed,rain_binary
2008,0,0,0,0,25.8,27.2,24.7,11.5,32.8,0
2009,0,0,0,0,26.6,29.5,24.7,13.9,38.2,0
2010,0,0,0,0,26.8,30.3,24.2,13.2,36.4,0
2011,0,0,0,0,27.1,31.1,24.6,12.1,34.2,0
2012,0,0,0,0,27.5,31.8,24.5,9.9,30.2,0
2013,41.8,23.6,27.8,29.4,26.7,32.2,24.3,8.8,36.7,1
2014,7.8,5.4,5.8,6.6,26,30.7,24.8,8.1,27.4,1
2015,6.4,1.8,2.8,4.4,25.8,30,24.3,8,33.8,1
2016,0.6,0.2,0.2,0.2,24.6,26.2,23.7,9.9,29.9,1
2017,1.6,1.6,1.6,1.6,25.9,32.8,23.5,9.9,27.4,1
2018,0.4,0.4,0.4,0.4,26.5,29.8,24.6,11.2,35.6,1
2019,0,0,0,0,27.3,30.6,25.3,16.4,41.8,0
2020,0,0,0,0,27.1,31.2,24.6,15.9,41.4,0
2021,0,0,0,0,27,30.9,24.6,16,44.6,0
2022,0,0,0,0,27,31,24.7,15.5,42.5,0
2023,0,0,0,0,26.4,30.4,23.6,13.8,39.2,0
2024,0,0,0,0,26.5,30.9,23.5,14.1,37.1,0
2025,0,0,0,0,26.4,30.1,24,15,42.5,0
2026,0,0,0,0,26.3,30.5,23.7,14.6,38.9,0
2027,0,0,0,0,26.2,29.9,23.6,14.4,41,0
2028,16,12.8,15.6,15.8,26.1,30.2,24.2,12.8,40.3,1
2029,0,0,0,0,26.4,29.3,24.3,14.5,40.7,0
2030,0,0,0,0,26.1,29.4,23.7,14.7,44.3,0
2031,0,0,0,0,26.2,29.9,24.4,12.7,37.1,0
2032,0,0,0,0,26.2,29.8,24,12.9,36.4,0
2033,0,0,0,0,26.5,30.5,24.2,13.5,37.4,0
2034,0,0,0,0,26.8,30.8,23.9,13.2,34.6,0
2035,1.8,1.6,1.6,1.8,26.5,31.8,23.5,10.6,32.4,1
2036,0,0,0,0,26.2,28.9,24.5,13.1,31.7,0
2037,0,0,0,0,26.5,30.1,24.5,12.9,39.6,0
2038,0,0,0,0,26.9,31.3,24.6,15.7,43.6,0
2039,0,0,0,0,26.2,30.4,23.4,13.9,48.6,0
2040,0,0,0,0,25.9,28.4,23.9,10.9,41.8,0
2041,0,0,0,0,25.8,28.8,24,12.3,34.9,0
2042,7,5.2,6.4,7,25.1,27.1,23.1,11.5,34.2,1
2043,0,0,0,0,26.3,29.8,24.5,16.5,50.4,0
2044,14,6.6,7.2,10.6,25.7,29.3,23.6,14.8,48.6,1
2045,0,0,0,0,26,29.3,24,15.5,48.6,0
2046,0,0,0,0,25.9,29.4,23.5,15.9,42.1,0
2047,0,0,0,0,26.2,29.7,24.3,17.2,50.8,0
2048,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,13.7,0,0
2052,0,0,0,0,26.1,30.2,23.3,14,37.8,0
2053,0,0,0,0,26.7,32.2,23.5,12.9,33.8,0
2054,0,0,0,0,27.1,32,23.9,14.7,39.2,0
2055,0,0,0,0,27,31.3,24.5,15.6,38.9,0
2056,0,0,0,0,27.2,31.8,23.9,12.5,40.3,0
2057,1.4,0.8,1,1,26.4,31.7,23.4,13.3,42.5,1
2058,0,0,0,0,27,31.6,24.5,14.7,37.1,0
2059,0,0,0,0,26.8,31.4,24.1,13.6,34.2,0
2060,0,0,0,0,26.7,31.1,24,13.5,37.4,0
2061,42.6,19.4,30.2,42.6,26.8,34.1,23.6,10.4,38.9,1
2062,0.2,0.2,0.2,0.2,26.9,29.6,24.7,12.9,35.3,1
2063,0,0,0,0,27.3,32.7,24.7,11.7,38.2,0
2064,0,0,0,0,27,30.8,24.6,12.3,33.1,0
2065,0,0,0,0,27.4,32.3,24.4,14.5,40.3,0
2066,0,0,0,0,27.8,32.8,24.7,14.4,38.5,0
2067,0,0,0,0,28,32.8,25,12.6,38.9,0
2068,0,0,0,0,27.5,32.3,24.8,10.7,41.4,0
2069,0,0,0,0,27.8,32.1,25.3,10.7,36.4,0
2070,0.2,0.2,0.2,0.2,27.5,33.5,25.5,10.2,34.2,1
2071,0,0,0,0,27.6,33.2,24.6,10.6,34.6,0
2072,0,0,0,0,27.7,32.5,24.4,9.4,29.9,0
2073,0,0,0,0,28,32.4,25,13,36,0
2074,0,0,0,0,27.8,33.5,25.3,8.8,36.4,0
2075,3.2,2.4,2.4,3,27.1,31.3,25.1,11.5,43.6,1
2076,0,0,0,0,27.5,31.9,24.4,11.6,46.1,0
2077,8.4,2.8,3.2,4.6,25.4,26.9,24.3,10.1,34.6,1
2078,0,0,0,0,27.1,30.9,24.9,10.8,36.4,0
2079,0,0,0,0,27.2,32.2,24.4,12.2,33.8,0
2080,0,0,0,0,27.4,32.9,24.4,10.9,30.6,0
2081,0,0,0,0,27.4,31,24.9,11.6,31,0
2082,1.6,0.8,1.6,1.6,27.3,33.9,25.6,8.5,31,1
2083,2.6,1.6,2.6,2.6,28,33.3,25.5,11,27.4,1
2084,0,0,0,0,28.3,34.5,25.9,11.7,35.6,0
2085,26.6,19.6,25,26.6,28,33.9,26.2,10.7,33.8,1
2086,0.2,0.2,0.2,0.2,28.3,33.1,24.7,8.5,38.2,1
2087,16.4,15.2,16.2,16.4,27.9,35,24.9,8.6,45.4,1
2088,37.4,21.8,32.6,37.4,26.9,32.6,23.1,8.3,57.6,1
2089,0,0,0,0,28,33.9,25.2,11.1,33.5,0
2090,0,0,0,0,27.9,31,25.9,12.8,35.6,0
2091,0,0,0,0,28.4,32.7,26.1,15.8,45.7,0
2092,0,0,0,0,28.4,31.9,26.1,15.7,46.4,0
2093,0,0,0,0,28.4,32.2,26,14.7,42.1,0
2094,3,2.8,3,3,27.6,30.2,26.2,11.7,42.8,1
2095,4.8,2.6,2.8,4.6,26.7,29.6,25,8.8,42.8,1
2096,0,0,0,0,28.2,32.5,25.6,11.8,36,0
2097,34.2,20.2,20.6,21.8,27.3,32.9,24.8,7.4,38.5,1
2098,0.2,0.2,0.2,0.2,27.6,31.7,25.5,5.1,28.1,1
2099,7.6,7.2,7.4,7.6,27.7,29.8,25.2,6.6,32.8,1
2100,87.2,28.2,50.4,80.8,26.8,29.5,23.6,5.7,38.9,1
2101,0,0,0,0,27.4,32.6,25.1,5.2,34.2,0
2102,0,0,0,0,28.5,33.5,25.1,5.8,24.5,0
2103,0,0,0,0,28.8,33.8,26.5,6.3,25.6,0
