,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
0,0.2,0.2,0.2,0.2,25.8,26.7,25.3,7.9,28.4
1,0.4,0.2,0.4,0.4,27.6,31.1,25.2,11.2,34.2
2,0,0,0,0,28.3,31.9,25.8,12.6,34.6
3,0.4,0.4,0.4,0.4,28.2,31.7,26.2,12.6,37.4
4,0,0,0,0,28.2,32.4,25.7,14,37.4
5,0,0,0,0,28.1,31.9,25.6,13,43.9
6,0,0,0,0,28.2,32.3,25.7,12.6,39.2
7,0,0,0,0,28.4,32.7,26.1,11.2,36.4
8,33.8,22.4,33.8,33.8,28,32.2,24.4,8.6,29.2
9,0,0,0,0,28.5,32.1,26,12.6,35.3
10,0,0,0,0,28.4,32.5,26.3,12.2,36.4
11,1.6,1.4,1.4,1.4,28.3,31.4,26.4,10.1,29.9
12,16.6,7.4,10,10.8,27.2,30.3,24.8,5.8,20.5
13,2,1.4,1.4,2,27.2,32.7,25.2,5.4,31.7
14,20.8,8.2,14.4,19.4,26.7,31.2,23.8,6.5,38.9
15,14,13.8,14,14,27.9,34.4,25,6.1,26.3
16,0,0,0,0,28.2,31.5,26.1,10.8,35.3
17,0.4,0.4,0.4,0.4,28.2,31.5,26,7.9,31.7
18,0.4,0.4,0.4,0.4,27.9,30.3,26.5,10.4,32.8
19,28.2,13.8,19.6,21.8,27.6,31.4,26.1,8.3,33.5
20,6.6,6.2,6.4,6.4,27.8,32.3,25.7,11.5,43.6
21,0,0,0,0,28.4,31.9,26,15.8,51.8
22,5,5,5,5,27.4,31.3,25.3,14,64.4
23,7.4,6.6,6.6,6.6,27.1,29.5,25.1,11.9,40.7
24,0.2,0.2,0.2,0.2,28.2,31.4,25.7,13,40.7
25,5.4,3.2,4.6,5,27.6,32.6,25,9.7,30.2
26,0,0,0,0,27.7,31.5,25,10.1,39.6
27,0,0,0,0,28.4,33,25.9,11.5,33.8
28,7.6,5.8,5.8,6.8,28,31.8,25.9,10.4,38.5
29,0,0,0,0,28.5,32.4,25.7,14,43.2
30,6.6,3.8,4.8,6.4,27.4,30.8,24.3,11.5,40.7
31,0,0,0,0,28.2,32.6,25.6,10.1,36.7
32,4.2,2.2,2.8,4.2,27.4,30.5,26,8.6,27
33,3,2,2,2.8,27.6,31.6,25.7,6.8,25.2
34,2.6,1.2,1.2,1.2,28,31.4,26.1,14.8,44.6
35,33.6,19.4,24.2,27.4,26.4,28.1,24,18,56.2
36,0,0,0,0,26.8,28.3,25.9,16.6,52.2
37,0,0,0,0,26.5,28.5,25.2,9.7,27.7
38,7.6,2.8,5,7.6,26.2,28,24.7,12.2,35.3
